Sample	Sample	Run1	Issues	Requirement	Run2	Issues	Requirements	Run3	Issues	Requirements
869	1387				875					
x	253719	mt28	16355del?	chạy lại PCR --> PCR-bigdye HV1R mồi dài	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253721	mt28	16355del?	chạy lại PCR --> PCR-bigdye HV1R mồi dài	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253777	mt28	HV2F fail	chạy lại PCR-bigdye HV2F	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253779	mt28	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250524_mtDNA_28_8 mau	73-302 438-576 16024-16365_nhiễu sau polyC	trả KQ			
x	253780	mt28	HV3R dyeblob	chạy lại PCR-bigdye HV3R	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253784	mt28	16355del?	chạy lại PCR --> PCR-bigdye HV1R mồi dài	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253785	mt28	16355del?	chạy lại PCR --> PCR-bigdye HV1R mồi dài	20250524_mtDNA_28_8 mau	None	trả KQ			
X	253795	mt28	HV1R: 16194M? 16195Y?	chạy lại PCR --> PCR-bigdye HV1R	20250524_mtDNA_28_8 mau	None	trả KQ			
x	253895	mt30	HV2F nền cao	chạy lại PCR-bigdye HV2F	20250524_mtDNA_30_4samples	HV2F nền cao	trả KQ			kết hợp data NGS trả KQ
x	253947	mt30	HV3 polyC	chạy PCR-bigdye bổ sung HV3F	20250524_mtDNA_30_4samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	253963	mt30	HV3 polyC	chạy PCR-bigdye bổ sung HV3F	20250524_mtDNA_30_4samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	253982	mt30	HV3 5AC	chạy PCR-bigdye bổ sung HV3F	20250524_mtDNA_30_4samples	73-302 438-522 16024-16365_Nhiễu sau polyC ở HV2F và AC repeat ở HV3F	trả KQ			
x	254234	mt31	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250524_mtDNA_31_3 SAMPLES	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	254262	mt31	HV3 AC repeats	chạy PCR-bigdye bổ sung HV3F	20250524_mtDNA_31_3 SAMPLES	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	254275	mt31	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250524_mtDNA_31_3 SAMPLES	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	254661	mt34	HV1R: 16194M? 16195Y?	chạy lại PCR --> PCR-bigdye HV1R	20250524_mtDNA_34_2samples	None	trả KQ			
x	254680	mt34	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250524_mtDNA_34_2samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	255134	mt36	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250524_mtDNA_36_3samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	255148	mt36	HV2F peak spike	chạy lại PCR-bigdye HV2F	20250524_mtDNA_36_3samples	None	trả KQ			
x	255177	mt36	HV3 nền cao	chạy lại PCR-bigdye HV3R	20250524_mtDNA_36_3samples	None	trả KQ			
x	255575	mt38	HV1F dyeblob	chạy lại PCR-bigdye HV1F	20250524_mtDNA_38_255575	None	trả KQ			
x	255235	mt37	HV3R dyeblob	chạy lại PCR-bigdye HV3R	20250524_mtDNA_37_3samples	None	trả KQ			
